標記目標,標記時間(s),Frame,標記行為,
newBox,0:0,1,cycle,
newBox,0:0,2,cycle,
newBox,0:0,3,cycle,
newBox,0:0,4,cycle,
newBox,0:0,5,cycle,
newBox,0:0,6,cycle,
newBox,0:0,7,cycle,
newBox,0:0,8,cycle,
newBox,0:0,9,cycle,
newBox,0:0,10,cycle,
newBox,0:0,11,cycle,
newBox,0:0,12,cycle,
newBox,0:0,13,cycle,
newBox,0:0,14,cycle,
newBox,0:0,15,cycle,
newBox,0:0,16,cycle,
newBox,0:0,17,cycle,
newBox,0:0,18,cycle,
newBox,0:0,19,cycle,
newBox,0:0,20,cycle,
newBox,0:0,21,cycle,
newBox,0:0,22,cycle,
newBox,0:0,23,cycle,
newBox,0:0,24,cycle,
newBox,0:0,25,cycle,
newBox,0:0,26,cycle,
newBox,0:0,27,cycle,
newBox,0:0,28,cycle,
newBox,0:0,29,cycle,
newBox,0:0,30,cycle,
newBox,0:1,31,cycle,
newBox,0:1,32,cycle,
newBox,0:1,33,cycle,
newBox,0:1,34,cycle,
newBox,0:1,35,cycle,
newBox,0:1,36,cycle,
newBox,0:1,37,cycle,
newBox,0:1,38,cycle,
newBox,0:1,39,cycle,
newBox,0:1,40,cycle,
newBox,0:1,41,cycle,
newBox,0:1,42,cycle,
newBox,0:1,43,cycle,
newBox,0:1,44,cycle,
newBox,0:1,45,cycle,
newBox,0:1,46,cycle,
newBox,0:1,47,cycle,
newBox,0:1,48,cycle,
newBox,0:1,49,cycle,
newBox,0:1,50,cycle,
newBox,0:1,51,cycle,
newBox,0:1,52,cycle,
newBox,0:1,53,cycle,
newBox,0:1,54,cycle,
newBox,0:1,55,cycle,
newBox,0:1,56,cycle,
newBox,0:1,57,cycle,
newBox,0:1,58,cycle,
newBox,0:1,59,cycle,
newBox,0:1,60,cycle,
newBox,0:2,61,cycle,
newBox,0:2,62,cycle,
newBox,0:2,63,cycle,
newBox,0:2,64,cycle,
newBox,0:2,65,cycle,
newBox,0:2,66,cycle,
newBox,0:2,67,cycle,
